,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,Year,DOW,Double_Header
0,2014-03-31,TOR,@,TBR,L,2.0,9.0,9.0,0-1,4.0,1.0,Price,Dickey,None,3:04,D,31042.0,-1,,2014,Monday,
1,2014-04-01,TOR,@,TBR,W,4.0,2.0,9.0,1-1,2.0,0.5,Hutchison,Cobb,Santos,3:32,N,11113.0,1,,2014,Tuesday,
2,2014-04-02,TOR,@,TBR,W,3.0,0.0,9.0,2-1,1.0,up 0.5,Buehrle,Moore,Cecil,2:55,N,10808.0,2,,2014,Wednesday,
3,2014-04-03,TOR,@,TBR,L,2.0,7.0,9.0,2-2,2.0,0.5,Archer,Morrow,None,3:21,N,9571.0,-1,,2014,Thursday,
4,2014-04-04,TOR,Home,NYY,L,3.0,7.0,9.0,2-3,4.0,1.0,Tanaka,McGowan,None,3:26,N,48197.0,-2,,2014,Friday,
5,2014-04-05,TOR,Home,NYY,W,4.0,0.0,9.0,3-3,2.0,1.0,Dickey,Pineda,Santos,2:45,D,45446.0,1,,2014,Saturday,
6,2014-04-06,TOR,Home,NYY,L,4.0,6.0,9.0,3-4,3.0,1.0,Sabathia,Hutchison,Robertson,2:57,D,34067.0,-1,,2014,Sunday,
7,2014-04-08,TOR,Home,HOU,W,5.0,2.0,9.0,4-4,2.0,0.5,Buehrle,Oberholtzer,Santos,2:52,N,13123.0,1,,2014,Tuesday,
8,2014-04-09,TOR,Home,HOU,W,7.0,3.0,9.0,5-4,1.0,up 0.5,Morrow,Harrell,None,3:09,N,13569.0,2,,2014,Wednesday,
9,2014-04-10,TOR,Home,HOU,L,4.0,6.0,9.0,5-5,1.0,Tied,Keuchel,Dickey,Bass,2:49,N,15778.0,-1,,2014,Thursday,
10,2014-04-11,TOR,@,BAL,W,2.0,0.0,9.0,6-5,1.0,Tied,McGowan,Tillman,Santos,2:20,N,22327.0,1,,2014,Friday,
11,2014-04-12,TOR,@,BAL,L-wo,1.0,2.0,12.0,6-6,2.0,1.0,Britton,Redmond,None,3:39,N,30446.0,-1,,2014,Saturday,
12,2014-04-13,TOR,@,BAL,W,11.0,3.0,9.0,7-6,1.0,Tied,Buehrle,Jimenez,None,2:45,D,39281.0,1,,2014,Sunday,
13,2014-04-15,TOR,@,MIN,W,9.0,3.0,9.0,8-6,1.0,up 0.5,Loup,Hughes,None,3:31,N,21818.0,2,,2014,Tuesday,
14,2014-04-17,TOR,@,MIN,L,0.0,7.0,9.0,8-7,2.0,2.0,Gibson,Dickey,None,2:38,D,20507.0,-1,,2014,Thursday,(1)
15,2014-04-17,TOR,@,MIN,L,5.0,9.0,9.0,8-8,2.0,2.0,Fien,Santos,None,3:37,N,20698.0,-2,,2014,Thursday,(2)
16,2014-04-18,TOR,@,CLE,W,3.0,2.0,9.0,9-8,2.0,1.0,Delabar,Rzepczynski,Santos,3:15,N,16335.0,1,,2014,Friday,
17,2014-04-19,TOR,@,CLE,W,5.0,0.0,9.0,10-8,1.0,Tied,Buehrle,Kluber,None,2:42,D,15188.0,2,,2014,Saturday,
18,2014-04-20,TOR,@,CLE,L,4.0,6.0,9.0,10-9,2.0,1.0,Outman,Loup,Axford,2:55,D,11716.0,-1,,2014,Sunday,
19,2014-04-22,TOR,Home,BAL,W,9.0,3.0,9.0,11-9,2.0,1.0,Delabar,Meek,None,2:54,N,14866.0,1,,2014,Tuesday,
20,2014-04-23,TOR,Home,BAL,L,8.0,10.0,9.0,11-10,2.0,1.0,Tillman,Redmond,Hunter,3:11,N,15202.0,-1,,2014,Wednesday,
21,2014-04-24,TOR,Home,BAL,L,4.0,11.0,9.0,11-11,3.0,2.0,Norris,Cecil,None,2:54,N,16283.0,-2,,2014,Thursday,
22,2014-04-25,TOR,Home,BOS,L,1.0,8.0,9.0,11-12,3.0,2.0,Peavy,Buehrle,None,2:57,N,29411.0,-3,,2014,Friday,
23,2014-04-26,TOR,Home,BOS,L,6.0,7.0,9.0,11-13,4.0,3.0,Buchholz,Morrow,Uehara,3:23,D,40322.0,-4,,2014,Saturday,
24,2014-04-27,TOR,Home,BOS,W,7.0,1.0,9.0,12-13,3.0,3.0,Dickey,Lester,None,2:28,D,45260.0,1,,2014,Sunday,
25,2014-04-29,TOR,@,KCR,L,7.0,10.0,9.0,12-14,4.0,3.0,Crow,Cecil,None,3:08,N,10705.0,-1,,2014,Tuesday,
26,2014-04-30,TOR,@,KCR,L,2.0,4.0,9.0,12-15,4.0,3.5,Herrera,Hutchison,Holland,2:59,N,11715.0,-2,,2014,Wednesday,
27,2014-05-01,TOR,@,KCR,W,7.0,3.0,9.0,13-15,3.0,2.5,Buehrle,Guthrie,Loup,2:35,N,11207.0,1,,2014,Thursday,
28,2014-05-02,TOR,@,PIT,L-wo,5.0,6.0,9.0,13-16,5.0,3.0,Melancon,Santos,None,3:21,N,24547.0,-1,,2014,Friday,
29,2014-05-03,TOR,@,PIT,L,6.0,8.0,9.0,13-17,5.0,3.5,Morris,Redmond,Melancon,3:19,N,31439.0,-2,,2014,Saturday,
30,2014-05-04,TOR,@,PIT,W,7.0,2.0,9.0,14-17,5.0,2.5,McGowan,Volquez,None,2:49,D,29496.0,1,,2014,Sunday,
31,2014-05-05,TOR,@,PHI,W,3.0,0.0,9.0,15-17,3.0,1.5,Happ,Kendrick,Cecil,2:59,N,25275.0,2,,2014,Monday,
32,2014-05-06,TOR,@,PHI,W,6.0,5.0,10.0,16-17,3.0,1.5,Stroman,Bastardo,Loup,3:06,N,26057.0,3,,2014,Tuesday,
33,2014-05-07,TOR,Home,PHI,W,10.0,0.0,9.0,17-17,3.0,1.5,Buehrle,Lee,None,2:23,N,16446.0,4,,2014,Wednesday,
34,2014-05-08,TOR,Home,PHI,W,12.0,6.0,9.0,18-17,3.0,1.5,Dickey,Burnett,None,3:00,N,18158.0,5,,2014,Thursday,
35,2014-05-09,TOR,Home,LAA,L,3.0,4.0,9.0,18-18,3.0,2.5,Smith,Cecil,Frieri,3:09,N,21383.0,-1,,2014,Friday,
36,2014-05-10,TOR,Home,LAA,L,3.0,5.0,9.0,18-19,4.0,3.5,Skaggs,Happ,Smith,2:46,D,31412.0,-2,,2014,Saturday,
37,2014-05-11,TOR,Home,LAA,L,3.0,9.0,9.0,18-20,4.0,3.5,Weaver,Hutchison,None,3:24,D,20871.0,-3,,2014,Sunday,
38,2014-05-12,TOR,Home,LAA,W,7.0,3.0,9.0,19-20,4.0,2.5,Buehrle,Wilson,None,2:45,N,13603.0,1,,2014,Monday,
39,2014-05-13,TOR,Home,CLE,W,5.0,4.0,9.0,20-20,2.0,1.5,Dickey,Masterson,Janssen,2:29,N,13673.0,2,,2014,Tuesday,
40,2014-05-14,TOR,Home,CLE,L,4.0,15.0,9.0,20-21,4.0,1.5,Kluber,McGowan,None,3:37,N,14068.0,-1,,2014,Wednesday,
41,2014-05-15,TOR,Home,CLE,W,4.0,2.0,9.0,21-21,3.0,1.5,Happ,Salazar,Janssen,3:23,N,17364.0,1,,2014,Thursday,
42,2014-05-16,TOR,@,TEX,W,2.0,0.0,9.0,22-21,3.0,1.5,Hutchison,Darvish,None,2:27,N,39129.0,2,,2014,Friday,
43,2014-05-17,TOR,@,TEX,W,4.0,2.0,9.0,23-21,3.0,0.5,Delabar,Cotts,Janssen,3:09,N,39723.0,3,,2014,Saturday,
44,2014-05-18,TOR,@,TEX,L,2.0,6.0,9.0,23-22,3.0,1.0,Poreda,Dickey,None,2:52,D,43671.0,-1,,2014,Sunday,
45,2014-05-20,TOR,@,BOS,W,7.0,4.0,9.0,24-22,2.0,0.5,Happ,Doubront,Janssen,3:17,N,37904.0,1,,2014,Tuesday,
46,2014-05-21,TOR,@,BOS,W,6.0,4.0,9.0,25-22,1.0,Tied,Hutchison,Buchholz,Janssen,3:23,N,36116.0,2,,2014,Wednesday,
47,2014-05-22,TOR,@,BOS,W,7.0,2.0,9.0,26-22,1.0,up 1.0,Buehrle,Lester,None,2:58,D,36018.0,3,,2014,Thursday,
48,2014-05-23,TOR,Home,OAK,W,3.0,2.0,9.0,27-22,1.0,up 1.5,Hendriks,Kazmir,Janssen,2:37,N,21007.0,4,,2014,Friday,
49,2014-05-24,TOR,Home,OAK,W,5.0,2.0,9.0,28-22,1.0,up 2.0,Dickey,Chavez,Cecil,2:35,D,29372.0,5,,2014,Saturday,
50,2014-05-25,TOR,Home,OAK,W,3.0,1.0,9.0,29-22,1.0,up 2.0,Happ,Pomeranz,Janssen,3:08,D,45277.0,6,,2014,Sunday,
51,2014-05-26,TOR,Home,TBR,W,10.0,5.0,9.0,30-22,1.0,up 2.0,Hutchison,Bedard,None,2:58,N,15616.0,7,,2014,Monday,
52,2014-05-27,TOR,Home,TBR,W,9.0,6.0,9.0,31-22,1.0,up 3.0,Buehrle,Cobb,Janssen,3:00,N,15993.0,8,,2014,Tuesday,
53,2014-05-28,TOR,Home,TBR,W-wo,3.0,2.0,9.0,32-22,1.0,up 3.0,Loup,Oviedo,None,3:23,N,17309.0,9,,2014,Wednesday,
